City_ID,City,Temperature,Humidity,Cloudiness,wind_speed,Date,Country,Longitude,Latitude
82,kiruna,27.52,86,40,8.05,1740862084,SE,20.2251,67.8557
83,preobrazheniye,29.53,66,33,7.56,1740862084,RU,133.9064,42.9019
84,vallo della lucania,49.73,80,100,6.02,1740862084,IT,15.2658,40.2297
85,chita,-23.91,76,28,2.24,1740862084,RU,113.55,52.0333
86,ngorongoro,55.96,46,7,2.82,1740862085,TZ,35.4875,-3.2397
87,kodiak,38.71,93,40,0.0,1740862085,US,-152.4072,57.79
88,quilmana,77.18,73,99,7.27,1740862085,PE,-76.3833,-12.95
89,laojunmiao,24.17,65,100,3.49,1740862085,CN,97.7333,39.8333
90,bhamo,62.73,55,1,1.54,1740862085,MM,97.2333,24.2667
91,kuanda,-21.55,94,92,1.3,1740862086,RU,116.0806,56.3161
92,avarua,82.45,78,75,14.97,1740862086,CK,-159.775,-21.2078
93,iskateley,-2.99,99,95,7.45,1740862086,RU,53.1512,67.6803
94,olonkinbyen,25.95,86,77,23.04,1740862087,SJ,-8.7187,70.9221
95,bang saphan,73.31,96,92,2.73,1740862087,TH,99.5117,11.2126
96,cam ranh,73.36,88,20,0.0,1740862087,VN,109.1591,11.9214
97,dalandzadgad,24.71,44,54,2.53,1740862087,MN,104.425,43.5708
98,mogadishu,78.03,87,7,18.12,1740862087,SO,45.3438,2.0371
99,crane,78.22,17,92,6.64,1740862088,US,-102.3501,31.3974
100,manismata,73.33,98,86,1.05,1740862088,ID,111.0333,-2.4667
101,pelabuhanratu,78.24,87,15,3.4,1740862088,ID,106.5514,-6.9875
102,cabedelo,83.07,75,99,10.67,1740862088,BR,-34.8339,-6.9811
103,kone,80.74,81,99,2.57,1740862089,NC,164.8658,-21.0595
104,namibe,73.36,77,100,2.55,1740862089,AO,12.1522,-15.1961
105,callao,80.89,65,0,11.5,1740862089,PE,-77.15,-12.0667
106,woolgoolga,66.07,74,91,0.83,1740862089,AU,153.2007,-30.1106
107,bilibino,-16.82,93,100,5.32,1740862090,RU,166.4372,68.0546
108,markaz-e hukumat-e darweshan,57.76,26,0,12.59,1740862090,AF,64.1934,31.1323
109,naze,67.12,82,100,7.02,1740862090,JP,129.4833,28.3667
110,brisas de zicatela,88.32,62,0,8.05,1740862090,MX,-97.0419,15.8369
111,kharp,-0.49,98,100,3.29,1740862090,RU,65.8081,66.8014
112,anadyr,-7.1,77,40,4.47,1740862091,RU,177.4833,64.75
113,georgetown,78.35,78,20,5.99,1740861993,MY,100.3354,5.4112
114,santa cruz,86.05,66,40,14.97,1740862080,BO,-63.1667,-17.8
115,grand gaube,80.38,91,100,9.37,1740862092,MU,57.6608,-20.0064
116,pasuquin,71.55,94,20,1.14,1740862093,PH,120.6177,18.3328
117,new norfolk,55.71,69,100,4.05,1740862093,AU,147.0587,-42.7826
118,nova xavantina,80.28,81,25,3.0,1740862093,BR,-52.35,-14.6667
119,cold lake,42.75,56,20,8.05,1740862017,CA,-110.2017,54.4502
120,carnarvon,79.63,71,9,21.56,1740862094,AU,113.6333,-24.8667
121,saint-joseph,80.98,78,71,1.7,1740862094,RE,55.6167,-21.3667
122,papatowai,66.02,71,100,2.51,1740862094,NZ,169.4708,-46.5619
123,west island,82.38,83,14,10.36,1740862094,CC,96.8225,-12.1568
124,djibo,84.45,13,1,8.34,1740862094,BF,-1.6306,14.1022
125,karacoban,-4.25,95,30,4.43,1740862095,TR,42.1124,39.3492
126,shahrud,29.08,45,100,14.27,1740862095,IR,54.9763,36.4182
127,timizart,55.0,82,100,6.31,1740862095,DZ,4.2667,36.8
128,nova vodolaha,24.93,83,100,6.11,1740862095,UA,35.8708,49.7185
129,san antonio de pale,81.68,81,100,8.66,1740862096,GQ,5.6325,-1.4014
130,tamanrasset,57.11,15,0,2.3,1740862096,DZ,5.5228,22.785
131,roma,21.09,82,100,21.85,1740862096,US,-75.4557,43.2128
132,badger,17.74,72,20,0.0,1740862096,US,-147.5333,64.8
133,yerofey pavlovich,-25.8,92,5,3.53,1740862097,RU,121.9667,53.9667
134,aykhal,-35.77,100,81,2.04,1740862097,RU,111.5,66.0
135,hawaiian paradise park,80.35,68,40,9.22,1740862097,US,-154.9731,19.5933
136,giyani,76.73,64,18,7.45,1740861896,ZA,30.7187,-23.3025
137,dolores,85.5,42,23,12.35,1740862098,AR,-57.6792,-36.3132
138,mantsala,33.26,92,100,3.98,1740862098,FI,25.2838,60.6609
139,vorgashor,4.35,98,100,3.62,1740862098,RU,63.95,67.5833
140,farap,39.2,93,75,20.71,1740862099,TM,63.6116,39.1704
141,zhaoqing,68.68,90,15,3.42,1740862099,CN,112.4597,23.0512
142,pisco,77.05,78,99,10.36,1740862099,PE,-76.2167,-13.7
143,aleshtar,30.69,66,91,2.91,1740862099,IR,48.2619,33.8633
144,jacobina,76.69,71,100,7.52,1740862100,BR,-40.5183,-11.1806
145,bamboo flat,77.09,94,40,2.3,1740862100,IN,92.7167,11.7
146,shirgaon,76.39,56,11,7.94,1740862100,IN,72.7,19.7
147,colonia,38.37,86,75,3.44,1740862100,DE,6.95,50.9333
148,cienfuegos,84.34,58,0,11.5,1740862100,CU,-80.4356,22.1461
149,umba,20.39,96,86,4.25,1740862101,RU,34.3429,66.6871
150,carupano,80.11,69,100,15.9,1740862101,VE,-63.2585,10.6678
151,moranbah,73.72,67,73,5.23,1740862101,AU,148.0466,-22.0016
152,rio preto da eva,84.76,67,100,0.51,1740862101,BR,-59.6997,-2.6994
153,canutama,83.16,74,96,2.1,1740862102,BR,-64.3831,-6.5339
154,andergrove,74.41,84,91,5.37,1740862102,AU,149.1833,-21.0833
155,kuruman,66.0,65,63,11.72,1740862102,ZA,23.4325,-27.4524
156,touros,80.6,74,50,8.41,1740862102,BR,-35.4608,-5.1989
157,boende,76.21,71,100,3.83,1740862102,CD,20.8667,-0.2167
158,ambon,83.84,100,40,6.91,1740862103,ID,128.1814,-3.6954
159,male,76.95,94,40,6.91,1740862103,MV,73.5089,4.1748
160,yarmouth,45.86,79,100,11.5,1740862103,US,-70.2286,41.7057
161,burang,-2.16,92,84,3.85,1740862103,CN,81.1667,30.25
162,kidal,79.63,12,88,4.14,1740862103,ML,1.4078,18.4411
163,rio rancho,67.64,16,36,5.99,1740862104,US,-106.6645,35.2334
164,bredasdorp,68.18,86,2,9.17,1740862104,ZA,20.0403,-34.5322
165,nova sintra,69.58,76,1,25.26,1740862104,CV,-24.7167,14.8667
166,bargaal,73.2,82,47,3.31,1740862104,SO,51.0773,11.2864
167,rongelap,79.07,68,83,16.98,1740862104,MH,166.8941,11.1635
168,frielendorf,40.23,75,75,3.44,1740862105,DE,9.3333,50.9833
169,fort mcmurray,35.11,55,100,3.44,1740862105,CA,-111.381,56.7268
170,pangody,-9.4,100,84,7.31,1740862105,RU,74.4859,65.85
171,san patricio,82.35,33,40,7.07,1740862105,US,-97.5169,28.017
172,sao joao da barra,86.09,82,39,11.63,1740862106,BR,-41.0511,-21.6403
173,novyy urengoy,-6.99,99,94,8.77,1740862106,RU,76.6333,66.0833
174,tannum sands,73.29,68,56,8.05,1740862106,AU,151.3693,-23.9504
175,mejit,79.47,76,94,14.76,1740862107,MH,170.8646,10.2753
176,bushehr,59.09,51,0,4.61,1740862107,IR,50.8385,28.9684
177,labrador city,-2.29,65,100,4.61,1740861913,CA,-66.9114,52.9463
178,guangming,12.79,66,80,5.66,1740862107,CN,122.7833,45.3333
179,puerto ayora,83.55,90,99,7.0,1740862108,EC,-90.3518,-0.7393
180,el calafate,57.69,55,100,10.4,1740862108,AR,-72.2768,-50.3408
181,buala,80.24,80,93,0.98,1740862108,SB,159.5921,-8.145
182,campo mourao,80.83,71,43,7.96,1740862064,BR,-52.3831,-24.0456
183,iqaluit,-13.31,62,75,10.36,1740862108,CA,-68.5145,63.7506
184,waingapu,78.03,82,3,5.3,1740862109,ID,120.2641,-9.6567
