City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,brazzaville,-4.2658,15.2832,28.18,64,96,0.98,CG,1741119788
83,chui,-33.6971,-53.4616,31.69,56,0,5.0,UY,1741119790
84,hami,42.8,93.45,3.44,38,100,4.29,CN,1741119583
85,greenville,35.6127,-77.3663,20.08,47,75,6.17,US,1741119733
86,blackmans bay,-43.0167,147.3167,15.07,79,0,3.46,AU,1741119793
87,thurgoona,-36.0451,146.9919,18.14,65,0,0.45,AU,1741119794
88,mo i rana,66.3128,14.1428,1.26,69,40,6.17,NO,1741119795
89,noumea,-22.2763,166.4572,28.33,99,85,0.49,NC,1741119796
90,edinburgh of the seven seas,-37.0676,-12.3116,13.77,62,28,4.72,SH,1741119798
91,badger,64.8,-147.5333,-3.89,88,20,2.06,US,1741119799
92,sitka,57.0531,-135.33,8.94,53,40,5.14,US,1741119595
93,mokhsogollokh,61.4681,128.9203,-26.87,94,100,3.12,RU,1741119801
94,lubango,-14.9172,13.4925,17.17,86,98,1.14,AO,1741119802
95,aasiaat,68.7098,-52.8699,-25.43,96,88,1.68,GL,1741119803
96,invercargill,-46.4,168.35,8.34,93,1,1.62,NZ,1741119804
97,paita,-5.0892,-81.1144,28.67,63,48,6.78,PE,1741119805
98,tikhvin,59.6451,33.5294,-0.18,91,100,5.09,RU,1741119807
99,atafu village,-8.5421,-172.5159,27.93,70,100,4.36,TK,1741119808
100,la libertad,-2.2333,-80.9,29.81,74,40,3.6,EC,1741119809
101,kailua-kona,19.6406,-155.9956,26.98,72,20,4.63,US,1741119810
102,mont-dore,-22.2833,166.5833,28.33,99,89,0.78,NC,1741119811
103,pitimbu,-7.4706,-34.8086,27.64,68,96,4.86,BR,1741119812
104,wanning,18.8003,110.3967,22.48,97,38,3.56,CN,1741119814
105,tofol,5.3248,163.0078,28.17,71,79,8.87,FM,1741119815
106,ilulissat,69.2167,-51.1,-13.99,66,75,5.66,GL,1741119816
107,terrace,54.5163,-128.6035,5.95,65,75,8.23,CA,1741119667
108,winkler,49.1817,-97.941,-3.9,74,100,6.69,CA,1741119818
109,buon ma thuot,12.6667,108.05,21.13,83,84,1.37,VN,1741119819
110,yeppoon,-23.1333,150.7333,23.18,86,24,1.57,AU,1741119822
111,inverloch,-38.6333,145.7167,17.01,71,0,2.52,AU,1741119823
112,kodiak,57.79,-152.4072,3.73,93,100,7.2,US,1741119824
113,masterton,-40.9597,175.6575,10.92,87,99,5.84,NZ,1741119825
114,arkhangel'sk,64.5401,40.5433,0.06,93,75,4.0,RU,1741119826
115,dudinka,69.4058,86.1778,-16.75,96,100,4.69,RU,1741119827
116,whitehorse,60.7161,-135.0538,0.05,74,20,2.06,CA,1741119828
117,yangjiang,21.85,111.9667,21.41,75,100,3.99,CN,1741119830
118,vrontados,38.4089,26.1328,10.92,66,0,10.29,GR,1741119831
119,egilsstadir,65.2653,-14.3948,-0.05,59,20,5.14,IS,1741119832
120,richland,40.7834,-82.5499,15.94,27,100,7.2,US,1741119833
121,yanam,16.7333,82.2167,21.47,96,100,0.73,IN,1741119834
122,kievka,50.2619,71.5514,-15.12,93,83,5.63,KZ,1741119835
123,bopolu,7.0667,-10.4875,26.05,54,47,2.8,LR,1741119836
124,anadyr,64.75,177.4833,-28.72,76,0,5.0,RU,1741119838
125,codrington,-38.2667,141.9667,15.11,64,0,1.63,AU,1741119839
126,constantia,44.1833,28.65,1.38,72,0,3.25,RO,1741119840
127,nieuw amsterdam,5.8833,-55.0833,27.68,69,43,5.04,SR,1741119841
128,lihue,21.9789,-159.3672,26.77,65,20,8.75,US,1741119842
129,weno,7.4515,151.8468,26.97,89,100,3.09,FM,1741119843
130,fruita,39.1589,-108.729,11.64,49,40,5.66,US,1741119656
131,makary,12.5717,14.4666,28.12,32,5,4.08,CM,1741119845
132,at taj,24.2049,23.2857,15.94,32,65,4.71,LY,1741119847
133,petropavlovsk-kamchatsky,53.0452,158.6483,-5.67,63,75,3.0,RU,1741119848
134,bredasdorp,-34.5322,20.0403,21.59,86,79,2.87,ZA,1741119849
135,chonchi,-42.6128,-73.8092,18.95,50,86,3.38,CL,1741119850
136,gerash,27.6652,54.1371,14.08,52,100,1.7,IR,1741119848
137,talnakh,69.4865,88.3972,-19.92,97,100,3.87,RU,1741119852
138,ubari,26.5921,12.7805,17.73,29,100,3.91,LY,1741119854
139,lorengau,-2.0226,147.2712,28.16,77,99,5.55,PG,1741119855
140,plyeshchanitsy,54.4222,27.8331,2.67,85,100,7.69,BY,1741119857
141,quang ngai,15.1167,108.8,22.88,95,67,0.63,VN,1741119859
142,tiksi,71.6872,128.8694,-32.66,100,85,1.59,RU,1741119860
143,mabaruma,8.2,-59.7833,27.88,68,66,3.14,GY,1741119862
144,carutapera,-1.195,-46.02,25.09,93,100,3.78,BR,1741119863
145,urengoy,65.9667,78.3667,-12.82,97,95,3.27,RU,1741119864
146,rivne,50.6231,26.2274,5.04,67,96,8.08,UA,1741119865
147,ploudalmezeau,48.5333,-4.65,7.27,79,0,2.57,FR,1741119866
148,nadi,-17.8,177.4167,27.0,78,40,0.0,FJ,1741119867
149,tazovsky,67.4667,78.7,-12.16,96,100,3.36,RU,1741119868
150,hawaiian paradise park,19.5933,-154.9731,23.28,94,100,0.89,US,1741119870
151,fort stockton,30.894,-102.8793,19.03,18,100,11.83,US,1741119871
152,dubbo,-32.25,148.6167,16.07,82,0,4.12,AU,1741119872
153,uturoa,-16.7333,-151.4333,28.33,72,47,4.69,PF,1741119873
154,lebu,-37.6167,-73.65,18.79,78,1,3.45,CL,1741119859
155,kingston,17.997,-76.7936,28.42,72,7,1.96,JM,1741119793
156,ta`u,-14.2336,-169.5144,26.74,77,71,2.48,AS,1741119876
157,richards bay,-28.783,32.0377,24.06,87,66,2.86,ZA,1741119877
158,antalya,36.7741,30.7178,12.83,60,0,5.14,TR,1741119779
159,aras-asan,8.8908,126.3033,24.31,92,80,1.36,PH,1741119880
160,kalymnos,36.95,26.9833,14.74,62,40,2.57,GR,1741119881
161,dibba al-hisn,25.6196,56.2729,20.3,79,99,2.61,AE,1741119882
162,ban karon,7.8477,98.2985,26.95,84,96,4.76,TH,1741119883
163,souillac,-20.5167,57.5167,27.21,83,40,4.12,MU,1741119884
164,as sulayyil,20.4607,45.5779,23.1,25,99,5.23,SA,1741119886
165,kisangani,0.5167,25.2,27.21,57,93,0.15,CD,1741119888
166,tazacorte,28.629,-17.9293,16.54,80,20,5.66,ES,1741119889
167,hasaki,35.7333,140.8333,11.73,84,100,9.31,JP,1741119890
168,new norfolk,-42.7826,147.0587,9.5,96,1,1.49,AU,1741119891
169,sakakah,29.9697,40.2064,13.76,67,69,7.72,SA,1741119892
170,ancud,-41.8697,-73.8203,14.97,68,90,3.42,CL,1741119893
171,soderhamn,61.3037,17.0592,2.8,88,100,4.4,SE,1741119895
172,calama,-22.4667,-68.9333,23.27,33,0,10.8,CL,1741119847
173,dawei,14.0833,98.2,21.62,90,12,1.5,MM,1741119897
174,san jose de guanipa,8.8872,-64.1651,35.51,27,71,3.82,VE,1741119898
175,phrae,18.0833,100.0,24.47,59,65,0.59,TH,1741119899
176,iskateley,67.6803,53.1512,-4.64,87,100,4.86,RU,1741119663
